rating,genres,description,title,imdb_id,director,length,number_of_rating,year,img,weighted_rating
3.5,Horror,"Pia has a sixth sense which enables her to see the supernatural. She joins a paranormal TV show to know more about her ""gift"" and the team works with her to unlock the 13 haunted secrets in Bangkok.",Bangkok 13 Muang Kon Tai,/title/tt5503826/,Dulyasit Niyomgul,,6,2016,"http://ia.media-imdb.com/images/M/MV5BMzUyZWIzMTAtZDk1OC00MjRlLTg1OTMtYjdlZGVhYjA2MTk5XkEyXkFqcGdeQXVyMjQxMDgxMjg@._V1_UY268_CR3,0,182,268_AL_.jpg",3.37795
6,"Comedy,Music","Can a burned out, has been- never was 80's rocker still rock today in the modern music world?",Rock and Roll: The Movie,/title/tt1486189/,Darren Dowler,91 mins.,26,2016,"http://ia.media-imdb.com/images/M/MV5BMTg3NTQ2NzkwOF5BMl5BanBnXkFtZTgwNDkxNjY0MTE@._V1_UX182_CR0,0,182,268_AL_.jpg",3.3779
5.8,Horror,"After losing his memory from an accident, Tan tried to find his identity. Eventually, he found something and led him back to his home sweet home. The more he knows them, the more he learns to fear of their secrets of his so-called family.",Take Me Home,/title/tt5563194/,Kongkiat Khomsiri,94 mins.,21,2016,"http://ia.media-imdb.com/images/M/MV5BM2Q1MjkwYWItZWVhMS00ZTNhLWJjZTMtODM0MzBkNjMxN2NlXkEyXkFqcGdeQXVyMzUyNzAwMjU@._V1_UY268_CR4,0,182,268_AL_.jpg",3.3777
5.2,Comedy,"Set in old rural district, Charlie pretends to be an ALS patient so he can gain sympathy from others...",House of Wolves,/title/tt5445444/,Vincent Kok,,13,2016,"http://ia.media-imdb.com/images/M/MV5BZDJhMGIwOGUtMDVkNi00Nzg0LTk0YTAtMTIyNWNlYWUzZDM4XkEyXkFqcGdeQXVyMjExMzEyNTM@._V1_UY268_CR4,0,182,268_AL_.jpg",3.3776
5.3,"Horror,Thriller","As the survivor of a serial killer's attack tries to cope with the death of her friends- and the fact that she brutally killed her attacker, she fears the trauma has awakened a dark side of her psyche.",Survival Knife,/title/tt3560166/,Mike McKown,90 mins.,14,2016,"http://ia.media-imdb.com/images/M/MV5BMTQ4Mzg0NTM5Ml5BMl5BanBnXkFtZTgwMzQ2NTM1NzE@._V1_UY268_CR6,0,182,268_AL_.jpg",3.37755
5.9,Comedy,The film is about a family that is determined to save their ancestral tea shop from being demolished...,Anjala,/title/tt3369694/,Thangam Saravanan,,24,2016,"http://ia.media-imdb.com/images/M/MV5BMzhlYTRjNmYtNDMxMi00NzMyLWJlY2MtZDRmMTFjZTc0ZWI5XkEyXkFqcGdeQXVyMjMwODI3NDE@._V1_UX182_CR0,0,182,268_AL_.jpg",3.37745
6.5,"Comedy,Drama,Romance",The romantic and coming-of-age misadventures of a 13-year-old American living in Germany.,Morris from America,/title/tt3652862/,Chad Hartigan,91 mins.,82,2016,"http://ia.media-imdb.com/images/M/MV5BMjE0OTAyMTI1M15BMl5BanBnXkFtZTgwOTY4NjkzNzE@._V1_UY268_CR157,0,182,268_AL_.jpg",3.3773
5.6,Horror,A family move into an abandoned orphanage and they soon learn that their charming orphanage has a disturbing history and is convinced they aren't alone.,Bind,/title/tt2425866/,Dan Walton,86 mins.,18,2016,"http://ia.media-imdb.com/images/M/MV5BMTYxODc5NDQ5N15BMl5BanBnXkFtZTgwMTc3MTE1NzE@._V1_UX182_CR0,0,182,268_AL_.jpg",3.3773
6.2,Action,"A brave Army dog returns to the U.S., where he helps his heroic handler bond with his resentful daughter on a camping trip despite danger lurking around every corner.",Army Dog,/title/tt3951298/,Ezra Kemp,90 mins.,38,2016,"http://ia.media-imdb.com/images/M/MV5BOTU1NzgxMDcxN15BMl5BanBnXkFtZTgwODY0OTkzNzE@._V1_UY268_CR0,0,182,268_AL_.jpg",3.3772
6.3,Thriller,"A 911 operator is fired after mistaking a real murder for a prank call. After that, and feeling guilt, she works to find the killer before there is another victim.",911 Nightmare,/title/tt4573136/,Craig Moss,,47,2016,"http://ia.media-imdb.com/images/M/MV5BMjIyNjU4MTEyMl5BMl5BanBnXkFtZTgwNzkyNzMwODE@._V1_UX182_CR0,0,182,268_AL_.jpg",3.37705
6.3,Thriller,"Upon returning from her honeymoon, Jade discovers that the caregiver she hired to look after her recently...",Stranger in the House,/title/tt5117252/,Allan Harmon,88 mins.,47,2016,Not Available,3.37705
6.4,Drama,"While vacationing with his wife, a writer (Hidetoshi Nishijima) begins following another man (Takeshi Kitano) and woman (Shiori Kutsuna) who are guests at the resort hotel where he stays.",While the Women Are Sleeping,/title/tt4851852/,Wayne Wang,103 mins.,62,2016,"http://ia.media-imdb.com/images/M/MV5BYzg1YmVkNTYtZmIyNy00NzdlLWJjYWMtOWQxMTIyYTliMDQ3XkEyXkFqcGdeQXVyNDk5NzUyOTY@._V1_UX182_CR0,0,182,268_AL_.jpg",3.37675
5.8,"Biography,Crime,Drama,Mystery,Thriller","The story of Jack Durant, notorious restaurateur and ladies man whose connections to the mafia remain a mystery.",Durant's Never Closes,/title/tt3717088/,Travis Mills,80 mins.,23,2016,"http://ia.media-imdb.com/images/M/MV5BMjQ2MzQxODQ5OF5BMl5BanBnXkFtZTgwMzYzMTU3NTE@._V1_UX182_CR0,0,182,268_AL_.jpg",3.37675
6.2,"Biography,Drama,Music",The rise and fall of Love Records record label in 1960's and 1970's Finland.,Love Records,/title/tt4431326/,Aleksi Mäkelä,90 mins.,40,2016,"http://ia.media-imdb.com/images/M/MV5BNTU5ZWIxMzYtYjA2OC00MzY5LTk5ZmMtNTAwMDdiMDBiZTkyXkEyXkFqcGdeQXVyMzEyNjk4NA@@._V1_UY268_CR25,0,182,268_AL_.jpg",3.37665
6.6,"Comedy,Drama","All the people in this countryside area, can count on Jean-Pierre, the doctor who auscultates them, heals and reassures them day and night...",Irreplaceable,/title/tt5078326/,Thomas Lilti,102 mins.,145,2016,"http://ia.media-imdb.com/images/M/MV5BN2Y0MzM0ODgtMzY0Mi00ZTBjLThhYjItYzU4ODI3NDg1NzdlXkEyXkFqcGdeQXVyNjU3MDQ1Njg@._V1_UY268_CR7,0,182,268_AL_.jpg",3.3766
4.9,Drama,Amputee. International Superstar. Dying patient. Broken child. Lonesome nurse. What do they all have in common?,Umbrella,/title/tt2630704/,Michael T. Smith,90 mins.,12,2016,"http://ia.media-imdb.com/images/M/MV5BMTk1MDU3NDc1M15BMl5BanBnXkFtZTcwMDU3Mjg5OA@@._V1_UY268_CR3,0,182,268_AL_.jpg",3.3766
